Titanium Oxide, Anatase (TiO2)	O2Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-8.627	-933.837	-933.837	INFINITE
100	19.159	9.623	89.203	-7.958	-936.632	-919.438	480.265
200	41.865	30.501	54.580	-4.816	-938.318	-901.476	235.441
298.15	55.271	49.907	49.907	0.000	-938.722	-883.266	154.745
300	55.471	50.249	49.908	0.102	-938.721	-882.922	153.730
400	63.593	67.433	52.195	6.095	-938.313	-864.368	112.875
500	68.145	82.156	56.753	12.702	-937.506	-845.970	88.378
600	70.890	94.842	62.069	19.664	-936.529	-827.753	72.062
700	72.655	105.911	67.559	26.846	-935.488	-809.706	60.421
800	73.860	115.696	72.976	34.176	-934.421	-791.810	51.700
900	74.726	124.448	78.218	41.607	-933.386	-774.046	44.924
1000	75.354	132.355	83.242	49.112	-932.464	-756.393	39.510
1100	75.814	139.559	88.039	56.672	-931.729	-738.823	35.084
1200	76.191	146.172	92.612	64.272	-935.171	-721.191	31.393
1300	76.484	152.283	96.970	71.907	-934.101	-703.403	28.263
1400	76.735	157.960	101.126	79.568	-933.112	-685.695	25.584
1500	76.944	163.262	105.094	87.252	-932.219	-668.054	23.264
1600	77.111	168.233	108.886	94.955	-931.438	-650.470	21.236
1700	77.237	172.912	112.516	102.673	-930.785	-632.930	19.448
1800	77.362	177.330	115.995	110.403	-930.274	-615.425	17.859
1900	77.446	181.515	119.335	118.143	-929.921	-597.943	16.439
2000	77.530	185.490	122.544	125.892	-944.427	-580.022	15.149


Nickel (Ni)	Ni1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.786	0.	0.	0.
100	13.631	7.454	50.235	-4.278	0.	0.	0.
200	22.468	20.200	32.143	-2.389	0.	0.	0.
250	24.397	25.432	30.290	-1.215	0.	0.	0.
298.15	25.987	29.870	29.870	0.	0.	0.	0.
300	26.024	30.031	29.871	0.048	0.	0.	0.
350	27.294	34.139	30.192	1.381	0.	0.	0.
400	28.493	37.863	30.922	2.776	0.	0.	0.
450	29.623	41.281	31.886	4.228	0.	0.	0.
500	31.045	44.473	32.986	5.743	0.	0.	0.
600	34.853	50.440	35.404	9.022	0.	0.	0.
631.000	39.832	52.263	36.187	10.144	Cp LAMBDA MAXIMUM
631.000	39.832	52.263	36.187	10.144	TRANSITION
700	30.794	55.575	37.941	12.344	0.	0.	0.
800	31.003	59.697	40.408	15.431	0.	0.	0.
900	31.589	63.382	42.759	18.560	0.	0.	0.
1000	32.217	66.742	44.992	21.750	0.	0.	0.
1100	32.928	69.845	47.112	25.007	0.	0.	0.
1200	33.681	72.742	49.128	28.336	0.	0.	0.
1300	34.518	75.471	51.051	31.746	0.	0.	0.
1400	35.397	78.061	52.888	35.241	0.	0.	0.
1500	36.317	80.534	54.649	38.827	0.	0.	0.
1600	37.279	82.908	56.342	42.506	0.	0.	0.
1700	38.284	85.199	57.972	46.286	0.	0.	0.
1728.000	38.535	85.827	58.419	47.361	CRYSTAL <--> LIQUID
1800	39.330	87.411	59.547	50.156	17.161 0.715  0.021
1900	42.677	89.637	61.072	54.275	-16.933	1.704	-0.047
2000	43.806	91.855	62.556	58.599	-16.501	2.674	-0.070
2100	44.978	94.021	64.003	63.038	-15.953	3.620	-0.090
2200	46.191	96.141	65.415	67.596	-15.286	4.536	-0.108
2300	47.447	98.222	66.797	72.278	-14.495	5.420	-0.123
2400	48.702	100.268	68.149	77.085	-13.579	6.267	-0.136
2500	49.957	102.281	69.474	82.018	-12.537	7.073	-0.148


Copper (Cu)	Cu1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-5.007	0.	0.	0.
100	16.010	10.034	53.414	-4.338	0.	0.	0.
200	22.631	23.730	35.354	-2.325	0.	0.	0.
250	23.782	28.915	33.563	-1.162	0.	0.	0.
298.15	24.442	33.164	33.164	0.	0.	0.	0.
300	24.462	33.315	33.164	0.045	0.	0.	0.
350	24.975	37.127	33.464	1.282	0.	0.	0.
400	25.318	40.484	34.136	2.539	0.	0.	0.
450	25.686	43.489	35.011	3.815	0.	0.	0.
500	25.912	46.206	35.997	5.105	0.	0.	0.
600	26.481	50.982	38.107	7.725	0.	0.	0.
700	26.996	55.103	40.247	10.399	0.	0.	0.
800	27.494	58.739	42.336	13.123	0.	0.	0.
900	28.049	62.009	44.343	15.899	0.	0.	0.
1000	28.662	64.994	46.261	18.733	0.	0.	0.
1100	29.479	67.763	48.091	21.638	0.	0.	0.
1200	30.519	70.368	49.840	24.633	0.	0.	0.
1300	32.143	72.871	51.516	27.762	0.	0.	0.
1358.000	33.353	74.300	52.459	29.660	CRYSTAL <--> LIQUID
1400	34.258	75.330	53.129	31.081	13.097 0.406  0.015
1500	36.425	77.767	54.691	34.615	-12.847	1.363	-0.047
1600	38.593	80.187	56.209	38.366	-12.381	2.296	-0.075
1700	40.760	82.592	57.690	42.333	-11.697	3.194	-0.098
1800	42.928	84.983	59.140	46.518	-10.797	4.045	-0.117
1900	45.095	87.362	60.563	50.919	-9.681	4.840	-0.133
2000	47.263	89.730	61.962	55.537	-8.347	5.570	-0.145


Aluminum (Al)	Al1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.539	0.	0.	0.
100	12.997	6.987	47.543	-4.056	0.	0.	0.
200	21.338	19.144	30.413	-2.254	0.	0.	0.
250	23.084	24.108	28.668	-1.140	0.	0.	0.
298.15	24.209	28.275	28.275	0.	0.	0.	0.
300	24.247	28.425	28.276	0.045	0.	0.	0.
350	25.113	32.231	28.574	1.280	0.	0.	0.
400	25.784	35.630	29.248	2.553	0.	0.	0.
450	26.335	38.699	30.130	3.856	0.	0.	0.
500	26.842	41.501	31.129	5.186	0.	0.	0.
600	27.886	46.485	33.283	7.921	0.	0.	0.
700	29.100	50.872	35.488	10.769	0.	0.	0.
800	30.562	54.850	37.663	13.749	0.	0.	0.
900	32.308	58.548	39.780	16.890	0.	0.	0.
933.450	32.959	59.738	40.474	17.982	CRYSTAL <--> LIQUID
1000	34.358	62.055	41.834	20.221	10.585 0.760  0.040
1100	36.722	65.438	43.827	23.772	-10.209	1.878	-0.089
1200	39.408	68.746	45.766	27.576	-9.580	2.951	-0.128


Lead (Pb)	Pb1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.878	0.	0.	0.
100	24.426	36.829	87.950	-5.112	0.	0.	0.
200	25.870	54.272	67.210	-2.587	0.	0.	0.
250	26.363	60.096	65.225	-1.282	0.	0.	0.
298.15	26.836	64.785	64.785	0.	0.	0.	0.
300	26.853	64.951	64.786	0.050	0.	0.	0.
350	27.288	69.124	65.114	1.403	0.	0.	0.
400	27.723	72.796	65.849	2.779	0.	0.	0.
450	28.139	76.085	66.807	4.175	0.	0.	0.
500	28.549	79.071	67.886	5.592	0.	0.	0.
600	29.404	84.336	70.201	8.481	0.	0.	0.
600.600	29.414	84.366	70.215	8.499	CRYSTAL <--> LIQUID
700	30.367	88.941	72.556	11.470	4.833 0.796  0.059
800	31.342	93.060	74.866	14.556	-4.765	1.598	-0.104
900	32.313	96.808	77.098	17.738	-4.568	2.382	-0.138
1000	33.288	100.263	79.244	21.018	-4.242	3.138	-0.164
1100	34.263	103.481	81.303	24.396	-3.789	3.856	-0.183
1200	35.238	106.504	83.278	27.871	-3.208	4.526	-0.197
1300	36.208	109.363	85.176	31.443	-2.506	5.143	-0.207
1400	37.183	112.082	87.001	35.113	-1.700	5.701	-0.213
1500	38.158	114.681	88.761	38.880	-0.797	6.199	-0.216


Hafnium (Hf)	Hf1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-5.842	0.	0.	0.
100	20.580	17.753	-65.394	-4.764	0.	0.	0.
200	24.418	33.561	-45.871	-2.462	0.	0.	0.
298.15	25.687	43.560	43.560	0.	0.	0.	0.
300	25.708	43.719	43.560	0.048	0.	0.	0.
400	26.751	51.261	44.581	2.672	0.	0.	0.
500	27.692	57.332	46.543	5.394	0.	0.	0.
600	28.583	62.460	48.780	8.208	0.	0.	0.
700	29.445	66.932	51.060	11.110	0.	0.	0.
800	30.288	70.919	53.298	14.097	0.	0.	0.
900	31.120	74.534	55.459	17.167	0.	0.	0.
1000	31.943	77.856	57.535	20.320	0.	0.	0.
1100	32.759	80.938	59.524	23.556	0.	0.	0.
1200	33.572	83.824	61.430	26.872	0.	0.	0.
1300	34.372	86.543	63.258	30.270	0.	0.	0.
1400	35.064	89.115	65.014	33.741	0.	0.	0.
1500	35.765	91.558	66.703	37.283	0.	0.	0.
1600	36.466	93.889	68.330	40.894	0.	0.	0.
1700	37.167	96.121	69.899	44.576	0.	0.	0.
1800	37.868	98.265	71.416	48.328	0.	0.	0.
1900	38.569	100.331	72.884	52.149	0.	0.	0.
2000	39.269	102.327	74.306	56.041	0.	0.	0.
2054.000	39.648	103.378	75.057	58.172	ALPHA <--> BETA
2054.000	33.959	106.255	75.057	64.080	TRANSITION
2100	34.384	107.011	75.749	65.652	0.	0.	0.
2200	35.307	108.632	77.207	69.136	0.	0.	0.
2300	36.231	110.222	78.608	72.713	0.	0.	0.
2400	37.154	111.784	79.957	76.383	0.	0.	0.
2500	38.077	113.353	81.262	80.228	0.	0.	0.
2500.000	38.077	113.353	81.262	80.228	BETA <--> LIQUID
2500.000	37.656	125.068	81.262	109.516	TRANSITION
2600	37.656	126.545	82.976	113.281	0.	0.	0.
2700	37.656	127.966	84.616	117.047	0.	0.	0.
2800	37.656	129.336	86.189	120.813	0.	0.	0.
2900	37.656	130.657	87.699	124.578	0.	0.	0.
3000	37.656	131.934	89.153	128.344	0.	0.	0.
3100	37.656	133.169	90.553	132.109	0.	0.	0.
3200	37.656	134.364	91.903	135.875	0.	0.	0.
3300	37.656	135.523	93.208	139.641	0.	0.	0.
3400	37.656	136.647	94.469	143.406	0.	0.	0.
3500	37.656	137.739	95.690	147.172	0.	0.	0.
3600	37.656	138.799	96.872	150.937	0.	0.	0.
3700	37.656	139.831	98.020	154.703	0.	0.	0.
3800	37.656	140.835	99.133	158.469	0.	0.	0.
3900	37.656	141.814	100.215	162.234	0.	0.	0.
4000	37.656	142.767	101.267	166.000	0.	0.	0.
4100	37.656	143.697	102.291	169.765	0.	0.	0.
4200	37.656	144.604	103.287	173.531	0.	0.	0.
4300	37.656	145.490	104.258	177.297	0.	0.	0.
4400	37.656	146.356	105.205	181.062	0.	0.	0.
4500	37.656	147.202	106.129	184.828	0.	0.	0.
4600	37.656	148.030	107.031	188.593	0.	0.	0.
4700	37.656	148.840	107.912	192.359	0.	0.	0.
4800	37.656	149.632	108.773	196.125	0.	0.	0.
4900	37.656	150.409	109.615	199.890	0.	0.	0.
4963.793	37.656	150.896	110.142	202.292	LIQUID <--> IDEAL GAS
4963.793	37.996	263.754	110.142	762.496	FUGACITY = 1 bar
5000	38.154	264.031	111.256	763.875	0.	0.	0.
5200	39.044	265.544	117.161	771.594	0.	0.	0.
5400	39.964	267.035	122.684	779.494	0.	0.	0.
5600	40.910	268.505	127.866	787.581	0.	0.	0.
5800	41.879	269.958	132.741	795.859	0.	0.	0.
6000	42.870	271.394	137.339	804.334	0.	0.	0.


Carbon (C)	C1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-1.051	0.	0.	0.
100	1.674	0.952	10.867	-0.991	0.	0.	0.
200	5.006	3.082	6.407	-0.665	0.	0.	0.
250	6.816	4.394	5.871	-0.369	0.	0.	0.
298.15	8.517	5.740	5.740	0.	0.	0.	0.
300	8.581	5.793	5.741	0.016	0.	0.	0.
350	10.241	7.242	5.851	0.487	0.	0.	0.
400	11.817	8.713	6.117	1.039	0.	0.	0.
450	13.289	10.191	6.487	1.667	0.	0.	0.
500	14.623	11.662	6.932	2.365	0.	0.	0.
600	16.844	14.533	7.961	3.943	0.	0.	0.
700	18.537	17.263	9.097	5.716	0.	0.	0.
800	19.827	19.826	10.279	7.637	0.	0.	0.
900	20.824	22.221	11.475	9.672	0.	0.	0.
1000	21.610	24.457	12.662	11.795	0.	0.	0.
1100	22.244	26.548	13.831	13.989	0.	0.	0.
1200	22.766	28.506	14.973	16.240	0.	0.	0.
1300	23.204	30.346	16.085	18.539	0.	0.	0.
1400	23.578	32.080	17.167	20.879	0.	0.	0.
1500	23.904	33.718	18.216	23.253	0.	0.	0.
1600	24.191	35.270	19.234	25.658	0.	0.	0.
1700	24.448	36.744	20.221	28.090	0.	0.	0.
1800	24.681	38.149	21.178	30.547	0.	0.	0.
1900	24.895	39.489	22.107	33.026	0.	0.	0.
2000	25.094	40.771	23.008	35.525	0.	0.	0.
2100	25.278	42.000	23.883	38.044	0.	0.	0.
2200	25.453	43.180	24.734	40.581	0.	0.	0.
2300	25.618	44.315	25.561	43.134	0.	0.	0.
2400	25.775	45.408	26.365	45.704	0.	0.	0.
2500	25.926	46.464	27.148	48.289	0.	0.	0.
2600	26.071	47.483	27.911	50.889	0.	0.	0.
2700	26.212	48.470	28.654	53.503	0.	0.	0.
2800	26.348	49.426	29.379	56.131	0.	0.	0.
2900	26.481	50.353	30.086	58.773	0.	0.	0.
3000	26.611	51.253	30.777	61.427	0.	0.	0.
3100	26.738	52.127	31.451	64.095	0.	0.	0.
3200	26.863	52.978	32.111	66.775	0.	0.	0.
3300	26.986	53.807	32.756	69.467	0.	0.	0.
3400	27.106	54.614	33.387	72.172	0.	0.	0.
3500	27.225	55.401	34.005	74.889	0.	0.	0.
3600	27.342	56.170	34.610	77.617	0.	0.	0.
3700	27.459	56.921	35.203	80.357	0.	0.	0.
3800	27.574	57.655	35.784	83.109	0.	0.	0.
3900	27.688	58.372	36.354	85.872	0.	0.	0.
4000	27.801	59.075	36.913	88.646	0.	0.	0.
4100	27.913	59.763	37.462	91.432	0.	0.	0.
4200	28.024	60.437	38.001	94.229	0.	0.	0.
4300	28.134	61.097	38.531	97.037	0.	0.	0.
4400	28.245	61.745	39.051	99.856	0.	0.	0.
4500	28.354	62.381	39.562	102.685	0.	0.	0.
4600	28.462	63.006	40.065	105.526	0.	0.	0.
4700	28.570	63.619	40.560	108.378	0.	0.	0.
4800	28.678	64.222	41.047	111.240	0.	0.	0.
4900	28.785	64.814	41.526	114.114	0.	0.	0.
5000	28.893	65.397	41.997	116.997	0.	0.	0.
5100	28.999	65.970	42.462	119.892	0.	0.	0.
5200	29.106	66.534	42.919	122.797	0.	0.	0.
5300	29.211	67.089	43.370	125.713	0.	0.	0.
5400	29.317	67.636	43.814	128.640	0.	0.	0.
5500	29.422	68.175	44.252	131.577	0.	0.	0.
5600	29.528	68.706	44.684	134.524	0.	0.	0.
5700	29.632	69.230	45.110	137.482	0.	0.	0.
5800	29.737	69.746	45.531	140.451	0.	0.	0.
5900	29.842	70.255	45.945	143.429	0.	0.	0.
6000	29.946	70.758	46.355	146.419	0.	0.	0.


Silicon (Si)	Si1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-3.218	0.	0.	0.
100	7.268	3.833	33.351	-2.952	0.	0.	0.
200	15.636	11.665	20.531	-1.773	0.	0.	0.
298.15	20.000	18.820	18.820	0.	0.	0.	0.
300	20.050	18.943	18.820	0.037	0.	0.	0.
400	22.142	25.032	19.636	2.159	0.	0.	0.
500	23.330	30.110	21.237	4.436	0.	0.	0.
600	24.154	34.440	23.086	6.812	0.	0.	0.
700	24.803	38.212	24.983	9.260	0.	0.	0.
800	25.359	41.562	26.850	11.769	0.	0.	0.
900	25.874	44.579	28.655	14.331	0.	0.	0.
1000	26.338	47.329	30.387	16.942	0.	0.	0.
1100	26.778	49.860	32.044	19.598	0.	0.	0.
1200	27.196	52.208	33.627	22.297	0.	0.	0.
1300	27.614	54.401	35.142	25.037	0.	0.	0.
1400	28.033	56.463	36.592	27.820	0.	0.	0.
1500	28.451	58.411	37.982	30.644	0.	0.	0.
1600	28.870	60.261	39.317	33.510	0.	0.	0.
1685.000	29.225	61.765	40.412	35.979	CRYSTAL <--> LIQUID
1685.000	27.196	91.562	40.412	86.187	TRANSITION
1700	27.196	91.803	40.864	86.595	0.	0.	0.
1800	27.196	93.357	43.738	89.315	0.	0.	0.
1900	27.196	94.827	46.388	92.034	0.	0.	0.
2000	27.196	96.222	48.846	94.754	0.	0.	0.
2100	27.196	97.549	51.133	97.473	0.	0.	0.
2200	27.196	98.815	53.272	100.193	0.	0.	0.
2300	27.196	100.023	55.279	102.913	0.	0.	0.
2400	27.196	101.181	57.167	105.632	0.	0.	0.
2500	27.196	102.291	58.950	108.352	0.	0.	0.
2600	27.196	103.358	60.638	111.071	0.	0.	0.
2700	27.196	104.384	62.239	113.791	0.	0.	0.
2800	27.196	105.373	63.762	116.511	0.	0.	0.
2900	27.196	106.327	65.214	119.230	0.	0.	0.
3000	27.196	107.249	66.600	121.950	0.	0.	0.
3100	27.196	108.141	67.925	124.669	0.	0.	0.
3200	27.196	109.005	69.196	127.389	0.	0.	0.
3300	27.196	109.842	70.415	130.109	0.	0.	0.
3400	27.196	110.653	71.586	132.828	0.	0.	0.
3500	27.196	111.442	72.714	135.548	0.	0.	0.
3504.616	27.196	111.478	72.765	135.673	LIQUID <--> IDEAL GAS
3504.616	23.023	221.204	72.765	520.221	FUGACITY = 1 bar
3600	23.046	221.822	76.706	522.419	0.	0.	0.
3700	23.066	222.454	80.637	524.725	0.	0.	0.
3800	23.081	223.070	84.377	527.032	0.	0.	0.
3900	23.093	223.669	87.941	529.341	0.	0.	0.
4000	23.102	224.254	91.341	531.651	0.	0.	0.
4100	23.108	224.825	94.590	533.961	0.	0.	0.
4200	23.111	225.381	97.698	536.272	0.	0.	0.
4300	23.113	225.925	100.673	538.583	0.	0.	0.
4400	23.112	226.457	103.526	540.895	0.	0.	0.
4500	23.111	226.976	106.264	543.206	0.	0.	0.
4600	23.108	227.484	108.893	545.517	0.	0.	0.
4700	23.104	227.981	111.422	547.827	0.	0.	0.
4800	23.100	228.467	113.855	550.138	0.	0.	0.
4900	23.096	228.943	116.199	552.447	0.	0.	0.
5000	23.092	229.410	118.459	554.757	0.	0.	0.
5100	23.089	229.867	120.639	557.066	0.	0.	0.
5200	23.087	230.316	122.744	559.374	0.	0.	0.
5300	23.086	230.755	124.777	561.683	0.	0.	0.
5400	23.086	231.187	126.744	563.992	0.	0.	0.
5500	23.087	231.610	128.647	566.300	0.	0.	0.
5600	23.091	232.026	130.489	568.609	0.	0.	0.
5700	23.098	232.435	132.274	570.918	0.	0.	0.
5800	23.108	232.837	134.005	573.228	0.	0.	0.
5900	23.121	233.232	135.683	575.539	0.	0.	0.
6000	23.135	233.621	137.312	577.851	0.	0.	0.


Silicon Carbide, Beta (SiC)	C1Si1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-3.270	-72.221	-72.221	INFINITE
100	4.263	1.460	33.062	-3.160	-72.437	-72.104	37.664
200	16.301	8.033	18.740	-2.141	-72.923	-71.580	18.695
298.15	26.840	16.610	16.610	0.	-73.220	-70.850	12.413
300	27.008	16.777	16.611	0.050	-73.223	-70.835	12.333
400	34.100	25.598	17.765	3.133	-73.284	-70.025	9.144
500	38.639	33.727	20.158	6.784	-73.237	-69.215	7.231
600	41.790	41.066	23.042	10.814	-73.161	-68.417	5.956
700	44.108	47.690	26.098	15.115	-73.082	-67.633	5.047
800	45.878	53.700	29.178	19.618	-73.009	-66.859	4.365
900	47.283	59.188	32.212	24.278	-72.945	-66.094	3.836
1000	48.421	64.231	35.165	29.065	-72.892	-65.336	3.413
1100	49.363	68.891	38.022	33.956	-72.851	-64.583	3.067
1200	50.158	73.221	40.777	38.932	-72.824	-63.832	2.779
1300	50.840	77.263	43.430	43.983	-72.813	-63.084	2.535
1400	51.430	81.053	45.984	49.097	-72.821	-62.335	2.326
1500	51.944	84.619	48.442	54.266	-72.851	-61.585	2.145
1600	52.400	87.986	50.809	59.484	-72.904	-60.832	1.986
1700	52.806	91.176	53.090	64.745	-123.160	-59.629	1.832
1800	53.170	94.204	55.291	70.044	-123.038	-55.895	1.622
1900	53.497	97.088	57.416	75.377	-122.903	-52.169	1.434
2000	53.798	99.840	59.469	80.742	-122.757	-48.450	1.265
2100	54.070	102.471	61.454	86.136	-122.601	-44.738	1.113
2200	54.321	104.992	63.376	91.556	-122.438	-41.034	0.974
2300	54.555	107.412	65.239	97.000	-122.267	-37.338	0.848
2400	54.769	109.739	67.045	102.466	-122.090	-33.649	0.732
2500	54.965	111.979	68.797	107.953	-121.908	-29.967	0.626
2600	55.153	114.138	70.500	113.459	-121.722	-26.294	0.528
2700	55.329	116.223	72.155	118.983	-121.531	-22.627	0.438
2800	55.492	118.238	73.765	124.524	-121.338	-18.967	0.354
2900	55.643	120.188	75.332	130.081	-121.142	-15.315	0.276
3000	55.789	122.077	76.859	135.653	-120.944	-11.669	0.203
3100	55.928	123.908	78.348	141.239	-120.746	-8.030	0.135
3200	56.057	125.686	79.799	146.838	-120.546	-4.397	0.072
3300	56.183	127.413	81.216	152.450	-120.346	-0.770	0.012
3400	56.300	129.092	82.600	158.074	-120.146	2.850	-0.044
3500	56.413	130.726	83.951	163.710	-119.946	6.465	-0.096
3600	56.522	132.316	85.273	169.357	-503.899	20.535	-0.298
3700	56.626	133.866	86.565	175.014	-503.288	35.094	-0.495
3800	56.722	135.378	87.830	180.681	-502.679	49.637	-0.682
3900	56.819	136.853	89.068	186.359	-502.074	64.163	-0.859
4000	56.911	138.292	90.281	192.045	-501.472	78.675	-1.027


Titanium (Ti)	Ti1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.830	0.	0.	0.
100	14.334	8.261	50.955	-4.269	0.	0.	0.
200	22.367	21.227	32.989	-2.352	0.	0.	0.
298.15	25.238	30.759	30.759	0.	0.	0.	0.
300	25.276	30.915	30.760	0.047	0.	0.	0.
400	26.862	38.423	31.772	2.660	0.	0.	0.
500	27.877	44.534	33.733	5.401	0.	0.	0.
600	28.596	49.683	35.973	8.226	0.	0.	0.
700	29.135	54.134	38.257	11.114	0.	0.	0.
800	29.472	58.039	40.490	14.039	0.	0.	0.
900	30.454	61.561	42.639	17.030	0.	0.	0.
1000	32.074	64.848	44.697	20.151	0.	0.	0.
1100	34.334	68.006	46.673	23.466	0.	0.	0.
1166.000	36.175	70.058	47.938	25.791	ALPHA <--> BETA
1166.000	29.245	73.636	47.938	29.963	TRANSITION
1200	29.459	74.479	48.679	30.961	0.	0.	0.
1300	30.175	76.864	50.756	33.941	0.	0.	0.
1400	31.023	79.131	52.702	37.000	0.	0.	0.
1500	32.003	81.304	54.537	40.150	0.	0.	0.
1600	33.115	83.404	56.276	43.405	0.	0.	0.
1700	34.359	85.448	57.932	46.778	0.	0.	0.
1800	35.736	87.451	59.517	50.281	0.	0.	0.
1900	37.244	89.422	61.039	53.929	0.	0.	0.
1939.000	37.868	90.186	61.617	55.394	BETA <--> LIQUID
1939.000	47.237	97.481	61.617	69.540	TRANSITION
2000	47.237	98.944	62.734	72.421	0.	0.	0.
2100	47.237	101.249	64.513	77.145	0.	0.	0.
2200	47.237	103.446	66.233	81.869	0.	0.	0.
2300	47.237	105.546	67.897	86.592	0.	0.	0.
2400	47.237	107.557	69.508	91.316	0.	0.	0.
2500	47.237	109.485	71.069	96.040	0.	0.	0.
2600	47.237	111.338	72.582	100.764	0.	0.	0.
2700	47.237	113.120	74.051	105.487	0.	0.	0.
2800	47.237	114.838	75.477	110.211	0.	0.	0.
2900	47.237	116.496	76.863	114.935	0.	0.	0.
3000	47.237	118.097	78.211	119.659	0.	0.	0.
3100	47.237	119.646	79.523	124.382	0.	0.	0.
3200	47.237	121.146	80.800	129.106	0.	0.	0.
3300	47.237	122.600	82.045	133.830	0.	0.	0.
3400	47.237	124.010	83.259	138.554	0.	0.	0.
3500	47.237	125.379	84.443	143.277	0.	0.	0.
3600	47.237	126.710	85.598	148.001	0.	0.	0.
3630.956	47.237	127.114	85.951	149.463	LIQUID <--> IDEAL GAS
3630.956	34.219	240.028	85.951	559.447	FUGACITY = 1 bar
3700	34.613	240.676	88.832	561.823	0.	0.	0.
3800	35.173	241.607	92.840	565.313	0.	0.	0.
3900	35.721	242.527	96.667	568.857	0.	0.	0.
4000	36.254	243.439	100.324	572.456	0.	0.	0.
4100	36.772	244.340	103.826	576.108	0.	0.	0.
4200	37.273	245.232	107.182	579.810	0.	0.	0.
4300	37.757	246.115	110.403	583.562	0.	0.	0.
4400	38.223	246.988	113.497	587.361	0.	0.	0.
4500	38.670	247.852	116.473	591.206	0.	0.	0.
4600	39.097	248.707	119.339	595.094	0.	0.	0.
4700	39.505	249.552	122.100	599.025	0.	0.	0.
4800	39.892	250.388	124.764	602.995	0.	0.	0.
4900	40.259	251.214	127.336	607.002	0.	0.	0.
5000	40.606	252.031	129.822	611.046	0.	0.	0.
5200	41.240	253.637	134.554	619.232	0.	0.	0.
5400	41.796	255.204	138.993	627.537	0.	0.	0.
5600	42.277	256.733	143.171	635.945	0.	0.	0.
5800	42.686	258.224	147.113	644.443	0.	0.	0.
6000	43.029	259.677	150.841	653.015	0.	0.	0.


Magnesium Oxide (MgO)	Mg1O1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-5.159	-597.060	-597.060	INFINITE
100	7.802	2.548	52.212	-4.966	-598.962	-589.601	307.976
200	26.681	14.096	30.037	-3.188	-600.646	-579.488	151.347
298.15	37.106	26.924	26.924	0.	-601.241	-568.945	99.677
300	37.244	27.154	26.925	0.069	-601.245	-568.745	99.027
400	42.561	38.678	28.460	4.087	-601.268	-557.898	72.854
500	45.544	48.523	31.513	8.505	-601.046	-547.078	57.153
600	47.430	57.006	35.072	13.160	-600.738	-536.312	46.690
700	48.748	64.420	38.746	17.972	-600.426	-525.600	39.221
800	49.740	70.996	42.374	22.898	-600.156	-514.930	33.621
900	50.539	76.902	45.888	27.913	-599.962	-504.289	29.268
1000	51.208	82.262	49.262	33.001	-608.462	-492.952	25.749
1100	51.794	87.171	52.488	38.151	-608.496	-481.399	22.860
1200	52.325	91.701	55.569	43.358	-608.495	-469.844	20.452
1300	52.810	95.908	58.512	48.615	-608.461	-458.291	18.414
1400	53.262	99.839	61.325	53.918	-735.804	-443.575	16.550
1500	53.693	103.528	64.017	59.266	-734.355	-422.752	14.722
1600	54.107	107.007	66.596	64.656	-732.877	-402.026	13.125
1700	54.509	110.299	69.071	70.087	-731.371	-381.394	11.719
1800	54.898	113.426	71.449	75.558	-729.837	-360.851	10.472
1900	55.278	116.404	73.737	81.067	-728.277	-340.395	9.358
2000	55.651	119.249	75.942	86.613	-726.690	-320.021	8.358
2100	56.019	121.973	78.070	92.197	-725.079	-299.727	7.455
2200	56.379	124.587	80.125	97.816	-723.442	-279.510	6.636
2300	56.738	127.101	82.114	103.472	-721.781	-259.368	5.890
2400	57.094	129.524	84.039	109.164	-720.097	-239.300	5.208
2500	57.445	131.862	85.905	114.891	-718.389	-219.301	4.582
2600	57.797	134.121	87.716	120.653	-716.659	-199.372	4.005
2700	58.145	136.309	89.476	126.450	-714.906	-179.509	3.473
